Nome_entidade,Cidade,Dependencia_adm,Localizacao,Numero_de_alunos,porte_da_escola,numero_de_participantes_no_enem,taxa_de_participacao,indicador_de_permanencia_na_escola,indicador_nivel_socioeconomico,faixa_indicador_de_formacao_docente,indicador_de_formacao_docente,taxa_de_aprovacao,taxa_de_reprovacao,taxa_de_abandono,Linguagem,Redacao,Matematica,Humanas,Natureza
COLEGIO MAXIMILIANO GAIDZINSKI,COCAL DO SUL,Privada,Urbana,53,De 31 a 60 alunos,49,"92,45",80% ou mais,Alto,Até 50%,"43,5","92,1","7,9",0,"548,09","602,86","590,86","576,17","541,54"
EEB VIDAL RAMOS JUNIOR,CONCORDIA,Estadual,Urbana,117,Mais que 90 alunos,82,"70,09",De 60% a 80%,Médio Alto,Maior que 50%,"51,3","83,1","13,9",3,"505,62","517,13","464,65","553,34","471,57"
EEB PROF OLAVO CECCO RIGON,CONCORDIA,Estadual,Urbana,318,Mais que 90 alunos,167,"52,52",80% ou mais,Médio Alto,Maior que 50%,62,"82,9",13,"4,1","512,9","526,71","491,53","558,23","493,84"
EEB PROFº MANSUETO BOFF,CONCORDIA,Estadual,Urbana,64,De 61 a 90 alunos,50,"78,13",80% ou mais,Médio Alto,Maior que 50%,"51,1","82,4",10,"7,6","505,96","470,4","466,31","541,84","480,03"
EEB DOMINGOS MAGARINOS,CONCORDIA,Estadual,Urbana,27,De 1 a 30 alunos,17,"62,96",80% ou mais,Médio Alto,Até 50%,"38,3","88,8","11,2",0,"493,81","515,29","456,99","529,22","490,82"
EEB SAO JOAO BATISTA DE LA SALLE,CONCORDIA,Estadual,Urbana,80,De 61 a 90 alunos,50,"62,5",80% ou mais,Alto,Maior que 50%,"51,2","77,6","19,2","3,2","501,14",492,"470,44","532,76","472,46"
EEB WALTER FONTANA,CONCORDIA,Estadual,Urbana,75,De 61 a 90 alunos,45,60,De 60% a 80%,Médio Alto,Maior que 50%,"56,8","64,5","26,3","9,2","502,48","456,44","488,53","529,41","496,72"
INSTITUTO FEDERAL CATARINENSE - CAMPUS CONCORDIA,CONCORDIA,Federal,Urbana,146,Mais que 90 alunos,126,"86,3",80% ou mais,Médio Alto,Maior que 50%,"65,4","85,4","14,1","0,5","517,38","511,9","508,28","564,29","523,5"
COOPERATIVA DE TRABALHO MAGNA,CONCORDIA,Privada,Urbana,16,De 1 a 30 alunos,15,"93,75",De 40% a 60%,Sem informação,Maior que 50%,"65,2",100,0,0,"550,05","626,67","545,17","600,36","541,51"
COLEGIO CENECISTA DR JULIO CESAR RIBEIRO NEVES,CONCORDIA,Privada,Urbana,21,De 1 a 30 alunos,19,"90,48",80% ou mais,Muito Alto,Até 50%,"49,2","98,2","1,8",0,"524,19","510,53","579,77","589,45","539,96"
SENAI SC CONCORDIA,CONCORDIA,Privada,Urbana,65,De 61 a 90 alunos,59,"90,77",80% ou mais,Muito Alto,Até 50%,"17,4","97,7","2,3",0,"565,91","616,95","596,13","603,93","570,13"
EEB PROFª DELIA REGIS,CORONEL FREITAS,Estadual,Urbana,96,Mais que 90 alunos,66,"68,75",80% ou mais,Médio Alto,Maior que 50%,"52,6","84,2","8,2","7,6","509,41","480,61","474,83","546,22","478,93"
EEB PROFª OLGA NUNES DE ABREU,CORONEL MARTINS,Estadual,Urbana,32,De 31 a 60 alunos,23,"71,88",80% ou mais,Médio,Até 50%,"39,6",89,9,2,"467,25","398,26","453,23","507,38","447,57"
EEB JOAO PAULO I,CORREIA PINTO,Estadual,Urbana,56,De 31 a 60 alunos,29,"51,79",De 60% a 80%,Médio Alto,Maior que 50%,"66,7","79,8",11,"9,2","472,21","371,72","446,32","512,64","450,71"
EEB HUMBERTO DE CAMPOS,CRICIUMA,Estadual,Urbana,54,De 31 a 60 alunos,38,"70,37",De 60% a 80%,Alto,Até 50%,"45,5","81,6","12,3","6,1","493,08","459,47","460,65","531,53","461,95"
EEB FREI POLICARPO,GASPAR,Estadual,Urbana,59,De 31 a 60 alunos,40,"67,8",80% ou mais,Alto,Maior que 50%,"58,3","77,6",17,"5,4","496,05",460,"466,85","547,21","463,23"
EEB GOV HERIBERTO HULSE,CRICIUMA,Estadual,Urbana,65,De 61 a 90 alunos,42,"64,62",De 60% a 80%,Médio Alto,Maior que 50%,"55,8","66,1","32,2","1,7","488,48","453,33","453,41","531,21","448,58"
EEB JOAO DAGOSTIM,CRICIUMA,Estadual,Urbana,57,De 31 a 60 alunos,41,"71,93",80% ou mais,Médio Alto,Maior que 50%,"56,9","67,7","19,3",13,"500,46","448,29","448,52","532,23","468,03"
EEB JOAQUIM RAMOS,CRICIUMA,Estadual,Urbana,86,De 61 a 90 alunos,52,"60,47",De 60% a 80%,Alto,Maior que 50%,"75,9","63,9","31,6","4,5","509,97","474,23","444,44","538,27","467,64"
CEDUP ABILIO PAULO,CRICIUMA,Estadual,Urbana,217,Mais que 90 alunos,166,"76,5",80% ou mais,Médio Alto,Maior que 50%,"66,7","86,2","11,8",2,"522,17","522,17","480,03","555,61","495,68"
EEB LINDOLFO COLLOR,CRICIUMA,Estadual,Urbana,25,De 1 a 30 alunos,13,52,De 60% a 80%,Médio Alto,Maior que 50%,"73,4","72,3","7,9","19,8","432,68","409,23","403,45","500,18","430,69"
COLEGIO MARISTA DE CRICIUMA,CRICIUMA,Privada,Urbana,107,Mais que 90 alunos,93,"86,92",De 60% a 80%,Muito Alto,Maior que 50%,"57,9","97,9","2,1",0,"588,26","655,27","617,3","614,87","560,63"
COLEGIO SAO BENTO,CRICIUMA,Privada,Urbana,95,Mais que 90 alunos,79,"83,16",80% ou mais,Muito Alto,Maior que 50%,"61,1","90,5","9,5",0,"584,93","647,85","590,86","621,86","571,56"
ESCOLA NORMAL E GINASIO MADRE TERESA MICHEL,CRICIUMA,Privada,Urbana,81,De 61 a 90 alunos,55,"67,9",80% ou mais,Muito Alto,Até 50%,"40,4","95,7","3,9","0,4","572,65","586,91","586,53","590,01","570,91"
EDUTEC ESCOLA EDUCACIONAL TECNICA SATC,CRICIUMA,Privada,Urbana,420,Mais que 90 alunos,328,"78,1",80% ou mais,Alto,Até 50%,37,"97,1","2,9",0,"551,25","581,1","572,38","587,09","536,22"
COLEGIO LEME LTDA,CRICIUMA,Privada,Urbana,98,Mais que 90 alunos,74,"75,51",Menos de 20%,Muito Alto,Até 50%,"45,8","98,3","1,7",0,"572,39",610,"615,15","615,34","576,02"
COLEGIO UNESC,CRICIUMA,Privada,Urbana,23,De 1 a 30 alunos,16,"69,57",De 40% a 60%,Muito Alto,Maior que 50%,"63,6","93,3","6,7",0,"552,41",485,"551,04","583,77","524,33"
COLEGIO UNIVERSITARIO CRICIUMA LTDA,CRICIUMA,Privada,Urbana,61,De 61 a 90 alunos,40,"65,57",80% ou mais,Alto,Maior que 50%,"67,5",92,"7,5","0,5","513,6",460,"467,47","551,66","484,94"
EEB PROF PATRICIO JOAO DE OLIVEIRA,CUNHA PORA,Estadual,Urbana,94,Mais que 90 alunos,65,"69,15",80% ou mais,Médio Alto,Maior que 50%,"60,4","87,3",8,"4,7","499,15","476,31","457,15","539,95","474,43"
EEB NICOLAU SCHOENBERGER,CUNHATAI,Estadual,Urbana,32,De 31 a 60 alunos,26,"81,25",80% ou mais,Médio Alto,Maior que 50%,"60,5","90,4","9,6",0,"463,63",390,"439,32","530,68","470,37"
